Film,Year,Tomatometer_Critic,Tomatometer_Audience,Tomatometer_Critic_Audience_Gap,IMDB_Critic,IMDB_Audience,IMDB_Critic_Audience_Gap,Nominations_Total,Nomination_SuccessRate,Genre,SideGenre,Picture,Cinematography,Directing,Editing,Screenplay,Acting,Design,Sound
Avatar,2010,82,82,0,83,79,-4,9,0.33333,Sci-Fi,Sci-Fi/Adventure,NOM,WON,NOM,NOM,NNOM,NNOM,WON,NOM
The Blind Side,2010,66,85,19,53,76,23,2,0.5,Biography,Drama/Biography,NOM,NNOM,NNOM,NNOM,NNOM,WON,NNOM,NNOM
District 9,2010,90,82,-8,81,79,-2,4,0,Sci-Fi,Sci-Fi/Mystery/Thriller,NOM,NNOM,NNOM,NOM,NOM,NNOM,NNOM,NNOM
An Education,2010,93,80,-13,85,73,-12,3,0,Drama,Drama,NOM,NNOM,NNOM,NNOM,NOM,NOM,NNOM,NNOM
The Hurt Locker,2010,97,84,-13,95,75,-20,9,0.66667,War,War/Drama,WON,NOM,WON,WON,WON,NOM,NNOM,WON
Inglourious Basterds,2010,89,88,-1,69,83,14,8,0.125,War,War/Comedy,NOM,NOM,NOM,NOM,NOM,WON,NNOM,NOM
Precious: Based on the Novel 'Push' by Sapphire,2010,92,74,-18,78,73,-5,6,0.33333,Drama,Drama,NOM,NNOM,NOM,NOM,WON,WON,NNOM,NNOM
A Serious Man,2010,89,68,-21,88,70,-18,2,0,Comedy,Comedy/Drama,NOM,NNOM,NNOM,NNOM,NOM,NNOM,NNOM,NNOM
Up,2010,98,90,-8,88,83,-5,5,0.4,Family,Family/Comedy,NOM,NNOM,NNOM,NNOM,NOM,NNOM,NNOM,NOM
Up in the Air,2010,90,79,-11,83,74,-9,6,0,Comedy,Comedy/Drama,NOM,NNOM,NOM,NNOM,NOM,NOM,NNOM,NNOM
Black Swan,2011,85,84,-1,79,80,1,5,0.2,Thriller,Drama/Mystery/Thriller,NOM,NOM,NOM,NOM,NNOM,WON,NNOM,NNOM
The Fighter,2011,91,89,-2,79,78,-1,7,0.28571,Biography,Drama/Biography,NOM,NNOM,NOM,NOM,NOM,WON,NNOM,NNOM
Inception,2011,87,91,4,74,88,14,8,0.5,Sci-Fi,Sci-Fi/Mystery/Thriller,NOM,WON,NNOM,NNOM,NOM,NNOM,NOM,WON
The Kids Are All Right,2011,92,74,-18,86,70,-16,4,0,Comedy,Comedy/Drama,NOM,NNOM,NNOM,NNOM,NOM,NOM,NNOM,NNOM
The King's Speech,2011,94,92,-2,88,80,-8,12,0.33333,History,History/Drama,WON,NOM,WON,NOM,WON,WON,NOM,NOM
127 Hours,2011,93,85,-8,82,75,-7,6,0,Biography,Drama/Biography,NOM,NNOM,NNOM,NOM,NOM,NOM,NNOM,NNOM
The Social Network,2011,96,87,-9,95,78,-17,8,0.375,Biography,Drama/Biography,NOM,NOM,NOM,WON,WON,NOM,NNOM,NOM
Toy Story 3,2011,98,90,-8,92,83,-9,5,0.4,Family,Family/Comedy,NOM,NNOM,NNOM,NNOM,NOM,NNOM,NNOM,NOM
True Grit,2011,95,85,-10,80,76,-4,10,0,Western,Western/Drama,NOM,NOM,NOM,NNOM,NOM,NOM,NOM,NOM
Winter's Bone,2011,94,76,-18,90,71,-19,4,0,Drama,Drama,NOM,NNOM,NNOM,NNOM,NOM,NOM,NNOM,NNOM
The Artist,2012,95,87,-8,89,79,-10,10,0.5,Romance,Romance/Comedy,WON,NOM,WON,NOM,NOM,WON,NOM,NNOM
The Descendants,2012,87,79,-8,84,73,-11,5,0.2,Comedy,Comedy/Drama,NOM,NNOM,NOM,NOM,WON,NOM,NNOM,NNOM
Extremely Loud & Incredibly Close,2012,45,61,16,46,69,23,2,0,Drama,Drama,NOM,NNOM,NNOM,NNOM,NNOM,NOM,NNOM,NNOM
The Help,2012,76,89,13,62,81,19,4,0.25,Drama,Drama,NOM,NNOM,NNOM,NNOM,NNOM,WON,NNOM,NNOM
Hugo,2012,93,78,-15,83,75,-8,11,0.45455,Adventure,Adventure/Fantasy,NOM,WON,NOM,NOM,NOM,NNOM,WON,WON
